median	q25	q75	median_independent	q25_independent	q75_independent
-123.031	-131.385	-120.061	-150.264	-151.692	-149.809
-123.031	-131.385	-120.054	-150.264	-151.692	-149.809
-123.031	-131.385	-120.054	-150.264	-151.692	-149.809
-123.031	-131.385	-120.054	-150.264	-151.68	-149.809
-123.031	-129.345	-120.054	-150.264	-151.68	-149.809
-123.031	-129.345	-119.795	-150.264	-151.496	-149.809
-123.031	-129.345	-119.795	-150.262	-151.496	-149.809
-123.031	-129.345	-119.795	-150.215	-151.496	-149.809
-122.824	-129.345	-119.795	-150.135	-151.454	-149.809
-122.824	-129.345	-119.795	-150.135	-151.454	-149.809
-122.824	-128.085	-119.795	-150.135	-151.454	-149.809
-122.824	-128.085	-119.795	-150.135	-151.454	-149.809
-122.824	-128.085	-119.795	-150.135	-151.454	-149.805
-122.824	-128.085	-119.795	-150.135	-151.454	-149.805
-122.824	-128.085	-119.795	-150.135	-151.454	-149.805
-122.705	-128.085	-119.795	-150.135	-151.454	-149.805
-122.705	-128.073	-119.704	-150.128	-151.454	-149.805
-122.246	-128.073	-119.704	-150.128	-151.454	-149.805
-122.246	-127.232	-119.704	-150.128	-151.454	-149.779
-122.246	-127.232	-119.704	-150.128	-151.454	-149.779
-122.246	-127.232	-119.704	-150.128	-151.452	-149.779
-122.246	-127.232	-119.704	-150.128	-151.452	-149.779
-122.246	-127.232	-119.704	-150.128	-151.452	-149.779
-122.246	-127.232	-119.704	-150.128	-151.452	-149.779
-122.222	-126.977	-119.704	-150.123	-151.452	-149.779
-122.222	-126.977	-119.704	-150.123	-151.449	-149.779
-122.222	-126.977	-119.704	-150.123	-151.449	-149.779
-122.222	-126.977	-119.704	-150.106	-151.449	-149.779
-122.135	-126.977	-119.704	-150.106	-151.44	-149.779
-122.135	-124.972	-119.704	-150.106	-151.44	-149.779
-122.135	-124.972	-119.704	-150.106	-151.44	-149.779
-122.135	-124.972	-119.704	-150.106	-151.44	-149.779
-122.135	-124.972	-119.704	-150.106	-151.426	-149.777
-121.969	-124.965	-119.704	-150.106	-151.426	-149.777
-121.969	-124.965	-119.704	-150.106	-151.419	-149.777
-121.969	-124.965	-119.665	-150.106	-151.419	-149.777
-121.969	-124.965	-119.665	-150.106	-151.419	-149.777
-121.969	-124.965	-119.665	-150.106	-151.419	-149.777
-121.969	-124.965	-119.665	-150.106	-151.419	-149.777
-121.797	-124.965	-119.665	-150.062	-151.417	-149.699
-121.797	-124.965	-119.665	-150.062	-151.417	-149.699
-121.797	-124.965	-119.665	-150.062	-151.417	-149.699
-121.797	-124.857	-119.665	-150.062	-151.417	-149.699
-121.797	-124.857	-119.665	-150.062	-151.417	-149.699
-121.797	-124.857	-119.665	-150.062	-151.417	-149.657
-121.797	-124.857	-119.665	-150.062	-151.417	-149.657
-121.797	-124.841	-119.665	-150.062	-151.417	-149.657
-121.797	-124.841	-119.665	-150.062	-151.417	-149.654
-121.797	-124.841	-119.665	-150.062	-151.417	-149.654
-121.797	-124.841	-119.665	-150.062	-151.417	-149.654
-121.797	-124.841	-119.665	-150.062	-151.411	-149.654
-121.797	-124.841	-119.665	-150.062	-151.411	-149.654
-121.797	-124.841	-119.665	-150.062	-151.411	-149.654
-121.797	-124.841	-119.665	-150.062	-151.411	-149.648
-121.797	-124.841	-119.643	-150.062	-151.411	-149.648
-121.797	-124.841	-119.643	-150.062	-151.411	-149.648
-121.797	-124.841	-119.643	-150.062	-151.411	-149.599
-121.788	-124.841	-119.643	-150.062	-151.411	-149.599
-121.788	-124.841	-119.643	-150.062	-151.405	-149.55
-121.785	-124.841	-119.643	-150.062	-151.405	-149.55
