generation,class,fitness_mean,fitness_std,n
22,-2,-14.67208270405996,0.2716752726733451,2
22,-1,-14.929181277331445,0.0,1
22,0,-15.205598891872697,0.7551987626957556,2
23,-2,-14.67208270405996,0.2716752726733451,2
23,-1,-14.929181277331445,0.0,1
23,0,-15.205598891872697,0.7551987626957556,2
24,-2,-14.67208270405996,0.2716752726733451,2
24,-1,-14.929181277331445,0.0,1
24,0,-14.992377329304873,0.4536579371219564,2
25,-2,-14.348910195202567,0.0,1
25,0,-14.701974390895248,0.06576159748037484,2
26,-2,-14.330417220790466,0.0,1
26,0,-14.67210751745155,0.10799973497013148,2
27,-2,-14.330417220790466,0.0,1
27,0,-14.67210751745155,0.10799973497013148,2
28,-2,-14.330417220790466,0.0,1
28,0,-14.590550278981581,0.22333908772406053,2
29,-2,-14.198264345719176,0.0,1
29,0,-14.590550278981581,0.22333908772406053,2
30,-2,-14.198264345719176,0.0,1
30,0,-14.590550278981581,0.22333908772406053,2
31,-2,-14.198264345719176,0.0,1
31,0,-14.590550278981581,0.22333908772406053,2
32,-2,-14.198264345719176,0.0,1
32,-1,-14.342680658718464,0.0,1
32,0,-14.590550278981581,0.22333908772406053,2
33,-2,-14.198264345719176,0.0,1
33,-1,-14.342680658718464,0.0,1
33,0,-14.590550278981581,0.22333908772406053,2
34,-2,-14.126353057261115,0.0,1
34,-1,-14.34741848400502,0.0067002967764016545,2
34,0,-14.590550278981581,0.22333908772406053,2
35,-2,-14.126353057261115,0.0,1
35,-1,-14.34741848400502,0.0067002967764016545,2
35,0,-14.590550278981581,0.22333908772406053,2
36,-2,-14.126353057261115,0.0,1
36,-1,-14.342680658718464,0.0,1
36,0,-14.48855700424868,0.36757936012217124,2
37,-2,-14.07292977053987,0.0,1
37,-1,-14.342680658718464,0.0,1
37,0,-14.446392443514277,0.30794966648007444,2
38,-2,-14.07292977053987,0.0,1
38,0,-14.256527002166319,0.03943938429983895,2
39,-2,-13.744733177290268,0.0,1
39,0,-14.256527002166319,0.03943938429983895,2
40,-2,-13.744733177290268,0.0,1
40,0,-14.256527002166319,0.03943938429983895,2
41,-2,-13.744733177290268,0.0,1
41,0,-14.256527002166319,0.03943938429983895,2
42,-2,-13.744733177290268,0.0,1
42,0,-14.240134158459938,0.0626223661952672,2
43,-2,-13.744733177290268,0.0,1
43,0,-14.225373925196399,0.05113094788803956,3
44,-2,-13.744733177290268,0.0,1
44,0,-14.225373925196399,0.05113094788803956,3
45,-2,-13.744733177290268,0.0,1
45,0,-14.126144514889372,0.22382806610283837,2
46,-2,-13.744733177290268,0.0,1
46,0,-14.126144514889372,0.22382806610283837,2
47,-2,-13.683810863496694,0.0,1
47,0,-14.126144514889372,0.22382806610283837,2
48,-2,-13.683810863496694,0.0,1
48,0,-14.126144514889372,0.22382806610283837,2
49,-2,-13.683810863496694,0.0,1
49,0,-13.732739310872134,0.3325309089264937,2
50,-2,-13.683810863496694,0.0,1
50,0,-13.732739310872134,0.3325309089264937,2
51,-2,-13.683810863496694,0.0,1
51,0,-13.732739310872134,0.3325309089264937,2
52,-2,-13.523968210235576,0.21480513796732428,2
52,0,-13.732739310872134,0.3325309089264937,2
53,-2,-13.523968210235576,0.21480513796732428,2
53,0,-13.732739310872134,0.3325309089264937,2
54,-2,-13.523968210235576,0.21480513796732428,2
54,0,-13.732739310872134,0.3325309089264937,2
55,-2,-13.348111570854133,0.03389370647927122,2
55,0,-13.811117597757482,0.2715103501912712,3
56,-2,-13.340122747623786,0.02767409545529287,3
56,0,-13.811117597757482,0.2715103501912712,3
57,-2,-13.340122747623786,0.02767409545529287,3
57,0,-13.811117597757482,0.2715103501912712,3
58,-2,-13.340122747623786,0.02767409545529287,3
58,0,-13.850306741200159,0.23513486065604994,4
59,-2,-13.340122747623786,0.02767409545529287,3
59,0,-13.850306741200159,0.23513486065604994,4
60,-2,-13.340122747623786,0.02767409545529287,3
60,0,-13.850306741200159,0.23513486065604994,4
61,-2,-13.340122747623786,0.02767409545529287,3
61,0,-13.414625341307133,0.034329650788862125,2
62,-2,-13.340122747623786,0.02767409545529287,3
62,0,-13.414625341307133,0.034329650788862125,2
63,-2,-13.340122747623786,0.02767409545529287,3
63,0,-13.414625341307133,0.034329650788862125,2
64,-2,-13.324145101163094,0.0,2
64,-1,-12.767840794269803,0.0,1
64,0,-13.414625341307133,0.034329650788862125,2
65,-2,-13.324145101163094,0.0,2
65,-1,-12.767840794269803,0.0,2
65,0,-13.38596135506136,0.07486664888931069,2
66,-2,-13.324145101163094,0.0,2
66,-1,-12.767840794269803,0.0,2
66,0,-13.38596135506136,0.07486664888931069,2
67,-2,-13.324145101163094,0.0,2
67,-1,-12.767840794269803,0.0,2
67,0,-13.38596135506136,0.07486664888931069,2
68,-2,-13.324145101163094,0.0,2
68,-1,-12.575352478994256,0.0,1
68,0,-13.38596135506136,0.07486664888931069,2
69,-2,-13.324145101163094,0.0,2
69,-1,-12.459906393029854,0.0,1
69,0,-13.38596135506136,0.07486664888931069,2
70,-2,-13.324145101163094,0.0,2
70,-1,-12.459906393029854,0.0,1
70,0,-13.216654166971564,0.3143031704931528,2
71,-2,-13.324145101163094,0.0,2
71,-1,-12.459906393029854,0.0,1
71,0,-13.216654166971564,0.3143031704931528,2
72,-2,-13.324145101163094,0.0,2
72,-1,-12.459906393029854,0.0,1
72,0,-13.216654166971564,0.3143031704931528,2
73,-2,-13.324145101163094,0.0,2
73,-1,-12.459906393029854,0.0,1
73,0,-13.216654166971564,0.3143031704931528,2
74,-2,-13.324145101163094,0.0,2
74,-1,-12.459906393029854,0.0,1
74,0,-13.216654166971564,0.3143031704931528,2
75,-2,-13.324145101163094,0.0,2
75,-1,-12.459906393029854,0.0,1
75,0,-13.216654166971564,0.3143031704931528,2
76,-2,-13.324145101163094,0.0,2
76,-1,-12.459906393029854,0.0,1
76,0,-13.191030151316085,0.2780653400307155,2
77,-2,-13.324145101163094,0.0,2
77,-1,-12.459906393029854,0.0,2
77,0,-13.191030151316085,0.2780653400307155,2
78,-2,-13.324145101163094,0.0,2
78,-1,-12.459906393029854,0.0,2
78,0,-13.191030151316085,0.2780653400307155,2
79,-2,-13.324145101163094,0.0,2
79,-1,-12.459906393029854,0.0,2
79,0,-12.969690537474175,0.5910868238163671,2
80,-2,-13.324145101163094,0.0,2
80,-1,-12.459906393029854,0.0,2
80,0,-12.969690537474175,0.5910868238163671,2
81,-2,-13.324145101163094,0.0,2
81,-1,-12.459906393029854,0.0,2
81,0,-12.969690537474175,0.5910868238163671,2
82,-2,-13.324145101163094,0.0,2
82,-1,-12.088366938742885,0.0,1
82,0,-12.969690537474175,0.5910868238163671,2
83,-1,-12.088366938742885,0.0,1
83,0,-12.899134030865577,0.49130485525681844,2
84,-1,-12.088366938742885,0.0,1
84,0,-12.899134030865577,0.49130485525681844,2
85,-1,-12.088366938742885,0.0,1
85,0,-12.897640293463125,0.49341731894998997,2
86,-1,-12.088366938742885,0.0,1
86,0,-12.897640293463125,0.49341731894998997,2
87,-1,-12.088366938742885,0.0,1
87,0,-12.897640293463125,0.49341731894998997,2
88,-1,-12.088366938742885,0.0,1
88,0,-12.895665769079574,0.4962097181124441,2
89,-1,-12.088366938742885,0.0,1
89,0,-12.895665769079574,0.4962097181124441,2
90,-1,-12.088366938742885,0.0,1
90,0,-12.895665769079574,0.4962097181124441,2
91,-1,-12.010712193869386,0.0,1
91,0,-12.8618800083124,0.5439899992044732,2
92,-1,-12.010712193869386,0.0,1
92,0,-12.8618800083124,0.5439899992044732,2
93,-1,-12.010712193869386,0.0,1
93,0,-12.8618800083124,0.5439899992044732,2
94,-1,-12.010712193869386,0.0,1
94,0,-12.8618800083124,0.5439899992044732,2
95,-1,-12.010712193869386,0.0,1
95,0,-12.8618800083124,0.5439899992044732,2
96,-1,-12.010712193869386,0.0,1
96,0,-12.8618800083124,0.5439899992044732,2
97,-1,-12.010712193869386,0.0,1
97,0,-12.8618800083124,0.5439899992044732,2
98,-1,-11.980936290328383,0.0,1
98,0,-12.8618800083124,0.5439899992044732,2
99,-1,-11.980936290328383,0.0,1
99,0,-12.8618800083124,0.5439899992044732,2
100,-1,-11.980936290328383,0.0,1
100,0,-12.8618800083124,0.5439899992044732,2
101,-1,-11.939088966412308,0.0,1
101,0,-12.8618800083124,0.5439899992044732,2
102,-1,-11.939088966412308,0.0,1
102,0,-12.990099680757451,0.4441659744093289,3
103,-1,-11.91249638586556,0.0,1
103,0,-12.83140367217946,0.5008899513138279,2
104,-1,-11.91249638586556,0.0,1
104,0,-12.807425286913656,0.4669793936671197,2
105,-1,-11.4989245311851,0.0,1
105,0,-12.569785552922788,0.13090605889849988,2
106,-1,-11.4989245311851,0.0,1
106,0,-12.537435901727044,0.17665537435756062,2
107,-1,-11.4989245311851,0.0,1
107,0,-12.49579783067995,0.1442385091654555,3
108,-1,-11.4989245311851,0.0,1
108,0,-12.49579783067995,0.1442385091654555,3
109,-1,-11.4989245311851,0.0,1
109,0,-12.49579783067995,0.1442385091654555,3
110,-1,-11.4989245311851,0.0,1
110,0,-12.474978795156403,0.12491421314127955,4
111,-1,-11.4989245311851,0.0,1
111,0,-12.474978795156403,0.12491421314127955,4
112,-1,-11.4989245311851,0.0,1
112,0,-12.512453059098787,0.13683666458097427,5
113,-1,-11.4989245311851,0.0,1
113,0,-12.512453059098787,0.13683666458097427,5
114,-1,-11.4989245311851,0.0,1
114,0,-12.512453059098787,0.13683666458097427,5
115,-1,-11.4989245311851,0.0,1
115,0,-12.519591014135433,0.13353891094660625,7
116,-1,-11.4989245311851,0.0,1
116,0,-12.546260844950167,0.23217853983631342,4
117,-1,-11.4989245311851,0.0,1
117,0,-12.546260844950167,0.23217853983631342,4
118,-1,-11.4989245311851,0.0,1
118,0,-12.546260844950167,0.23217853983631342,4
119,-1,-11.4989245311851,0.0,1
119,0,-12.569478698933798,0.20766679919625602,5
120,-1,-11.4989245311851,0.0,1
120,0,-12.569478698933798,0.20766679919625602,5
121,-1,-11.4989245311851,0.0,1
121,0,-12.569478698933798,0.20766679919625602,5
122,-1,-11.4989245311851,0.0,1
122,0,-12.569478698933798,0.20766679919625602,5
123,-1,-11.4989245311851,0.0,1
123,0,-12.569478698933798,0.20766679919625602,5
124,-1,-11.4989245311851,0.0,1
124,0,-12.584957268256218,0.18957298394114194,6
125,-1,-11.4989245311851,0.0,1
125,0,-12.428046748622165,0.32534508160200626,2
126,-1,-11.4989245311851,0.0,1
126,0,-12.504731319764323,0.2656431467496904,3
127,-1,-11.4989245311851,0.0,1
127,0,-12.409453085302236,0.2990496707607606,2
128,-1,-11.4989245311851,0.0,1
128,0,-12.409453085302236,0.2990496707607606,2
129,-1,-11.4989245311851,0.0,1
129,0,-12.409453085302236,0.2990496707607606,2
130,-1,-11.4989245311851,0.0,1
130,0,-12.328068572666657,0.18395458922440122,2
131,-1,-11.448684036611223,0.0,1
131,0,-12.328068572666657,0.18395458922440122,2
132,-1,-11.448684036611223,0.0,1
132,0,-12.314292727213818,0.16447260175184222,2
133,-1,-11.424967755430139,0.0,1
133,0,-12.314292727213818,0.16447260175184222,2
134,-1,-11.424967755430139,0.0,1
134,0,-12.314292727213818,0.16447260175184222,2
135,-1,-11.424967755430139,0.0,1
135,0,-12.276392315892135,0.2180718774624851,2
136,-1,-11.424967755430139,0.0,1
136,0,-12.327792350338738,0.17805494234460936,3
137,-1,-11.424967755430139,0.0,1
137,0,-12.327792350338738,0.17805494234460936,3
138,-1,-11.424967755430139,0.0,1
138,0,-12.230485673703662,0.1531500814765332,2
139,-1,-11.424967755430139,0.0,1
139,0,-12.198038799023431,0.10726327124713268,2
140,-1,-11.424967755430139,0.0,1
140,0,-12.150100242850247,0.17505862754783424,2
141,-1,-11.424967755430139,0.0,1
141,0,-12.150100242850247,0.17505862754783424,2
142,-1,-11.424967755430139,0.0,1
142,0,-12.150100242850247,0.17505862754783424,2
143,-1,-11.424967755430139,0.0,1
143,0,-12.150100242850247,0.17505862754783424,2
144,-1,-11.424967755430139,0.0,1
144,0,-12.148484456227642,0.1727735601922478,2
145,-1,-11.424967755430139,0.0,1
145,0,-12.148484456227642,0.1727735601922478,2
146,-1,-11.424967755430139,0.0,1
146,0,-12.148484456227642,0.1727735601922478,2
147,-1,-11.424967755430139,0.0,1
147,0,-12.087668060225807,0.08676618815179817,2
148,-1,-11.227558028850696,0.0,1
148,0,-12.040946192982428,0.020691489836816162,2
149,-1,-11.227558028850696,0.0,1
149,0,-12.040946192982428,0.020691489836816162,2
150,-1,-11.227558028850696,0.0,1
150,0,-12.040946192982428,0.020691489836816162,2
151,-1,-11.227558028850696,0.0,1
151,0,-12.040946192982428,0.020691489836816162,2
152,-1,-11.227558028850696,0.0,1
152,0,-12.040946192982428,0.020691489836816162,2
153,-1,-11.227558028850696,0.0,1
153,0,-12.045823223907917,0.016894530706061187,3
154,-1,-11.227558028850696,0.0,1
154,0,-12.014061320946054,0.0719077603810812,3
155,-1,-11.227558028850696,0.0,1
155,0,-12.014061320946054,0.0719077603810812,3
156,-1,-11.227558028850696,0.0,1
156,0,-12.014061320946054,0.0719077603810812,3
157,-1,-11.227558028850696,0.0,1
157,0,-12.014061320946054,0.0719077603810812,3
158,-1,-11.227558028850696,0.0,1
158,0,-12.014061320946054,0.0719077603810812,3
159,-1,-11.227558028850696,0.0,1
159,0,-12.014061320946054,0.0719077603810812,3
160,-1,-11.227558028850696,0.0,1
160,0,-12.014061320946054,0.0719077603810812,3
161,-1,-11.227558028850696,0.0,1
161,0,-12.024440312149263,0.06227394721926046,4
162,-1,-11.227558028850696,0.0,1
162,0,-12.006632196851669,0.097890177814451,4
163,-1,-11.227558028850696,0.0,1
163,0,-12.016421214633112,0.08755563676906178,5
164,-1,-11.227558028850696,0.0,1
164,0,-12.016421214633112,0.08755563676906178,5
165,-1,-11.227558028850696,0.0,1
165,0,-12.016421214633112,0.08755563676906178,5
166,-1,-11.227558028850696,0.0,1
166,0,-12.02294722648741,0.07992699549190653,6
167,-1,-11.227558028850696,0.0,1
167,0,-12.02294722648741,0.07992699549190653,6
168,-1,-11.227558028850696,0.0,1
168,0,-12.027608663526193,0.07399801894083721,7
169,-1,-11.227558028850696,0.0,1
169,0,-12.026303494942997,0.07745117043098929,7
170,-1,-11.227558028850696,0.0,1
170,0,-12.029962718794984,0.07244893598934961,8
171,-1,-11.227558028850696,0.0,1
171,0,-11.942550345312211,0.12995151186416487,2
172,-1,-11.227558028850696,0.0,1
172,0,-11.97318021040041,0.10610496512347956,3
173,-1,-11.227558028850696,0.0,1
173,0,-11.97318021040041,0.10610496512347956,3
174,-1,-11.227558028850696,0.0,2
174,0,-11.97318021040041,0.10610496512347956,3
175,-1,-11.227558028850696,0.0,2
175,0,-11.97318021040041,0.10610496512347956,3
176,-1,-11.227558028850696,0.0,2
176,0,-11.988495142944508,0.09188959526459531,4
177,-1,-11.227558028850696,0.0,2
177,0,-11.997684102470968,0.08218855257463122,5
178,-1,-11.227558028850696,0.0,2
178,0,-11.894149262342292,0.14828657685004554,2
179,-1,-11.227558028850696,0.0,2
179,0,-11.92910074369216,0.12107548299553854,3
180,-1,-11.227558028850696,0.0,2
180,0,-11.92910074369216,0.12107548299553854,3
181,-1,-11.227558028850696,0.0,2
181,0,-11.92910074369216,0.12107548299553854,3
182,-1,-11.227558028850696,0.0,2
182,0,-11.92910074369216,0.12107548299553854,3
183,-1,-11.227558028850696,0.0,2
183,0,-11.92910074369216,0.12107548299553854,3
184,-1,-11.227558028850696,0.0,2
184,0,-11.946576484367096,0.10485444404960716,4
185,-1,-11.190176248676654,0.0,1
185,0,-11.946576484367096,0.10485444404960716,4
186,-1,-11.190176248676654,0.0,1
186,0,-11.889700223941475,0.14199468640408844,2
187,-1,-11.190176248676654,0.0,1
187,0,-11.889700223941475,0.14199468640408844,2
188,-1,-11.190176248676654,0.0,1
188,0,-11.889700223941475,0.14199468640408844,2
189,-1,-11.176328416296277,0.0,1
189,0,-11.839799328057502,0.21256521013776933,2
190,-1,-11.176328416296277,0.0,2
190,0,-11.819916722511604,0.18444695971944297,2
191,-1,-11.176328416296277,0.0,3
191,0,-11.819916722511604,0.18444695971944297,2
192,-1,-11.176328416296277,0.0,3
192,0,-11.805483308885323,0.16403503041781867,2
193,-1,-11.176328416296277,0.0,3
193,0,-11.766819881431795,0.13393404148852422,3
194,-1,-11.176328416296277,0.0,4
194,0,-11.766819881431795,0.13393404148852422,3
195,-1,-11.152845893756615,0.0,1
195,0,-11.77842986700679,0.2022943748313115,2
196,-1,-11.152845893756615,0.0,1
196,0,-11.77842986700679,0.2022943748313115,2
197,-1,-11.152845893756615,0.0,1
197,0,-11.77842986700679,0.2022943748313115,2
198,-1,-11.152845893756615,0.0,1
198,0,-11.774962675178568,0.1973910251244872,2
199,-1,-11.152845893756615,0.0,1
199,0,-11.74944121446389,0.16129822925021886,2
200,-1,-11.152845893756615,0.0,1
200,0,-11.74944121446389,0.16129822925021886,2
201,-1,-11.146368823665531,0.0,1
201,0,-11.739388657382033,0.17551469181191018,2
202,-1,-11.127242792628147,0.0,1
202,0,-11.739388657382033,0.17551469181191018,2
203,-1,-11.127242792628147,0.0,1
203,0,-11.698019447789342,0.14330714576700898,3
204,-1,-11.127242792628147,0.0,1
204,0,-11.591199986469038,0.04170958847689799,3
205,-1,-11.127242792628147,0.0,1
205,0,-11.591199986469038,0.04170958847689799,3
206,-1,-11.127242792628147,0.0,1
206,0,-11.591199986469038,0.04170958847689799,3
207,-1,-11.127242792628147,0.0,1
207,0,-11.591199986469038,0.04170958847689799,3
208,-1,-11.127242792628147,0.0,1
208,0,-11.579159465401574,0.04170958847689782,4
209,-1,-11.127242792628147,0.0,1
209,0,-11.586383778042052,0.039569189956593004,5
210,-1,-11.127242792628147,0.0,1
210,0,-11.586383778042052,0.039569189956593004,5
211,-1,-11.127242792628147,0.0,1
211,0,-11.586383778042052,0.039569189956593004,5
212,-1,-11.127242792628147,0.0,1
212,0,-11.554234417892175,0.019392934047997475,3
213,-1,-11.127242792628147,0.0,1
213,0,-11.551435288968927,0.016794773539482173,4
214,-1,-11.024551295120597,0.0,1
214,0,-11.551435288968927,0.016794773539482173,4
215,-1,-11.024551295120597,0.0,1
215,0,-11.551435288968927,0.016794773539482173,4
216,-1,-11.024551295120597,0.0,1
216,0,-11.551435288968927,0.016794773539482173,4
217,-1,-11.024551295120597,0.0,1
217,0,-11.549755811614979,0.015021702120398906,5
218,-1,-11.024551295120597,0.0,1
218,0,-11.549755811614979,0.015021702120398906,5
219,-1,-11.024551295120597,0.0,1
219,0,-11.549755811614979,0.015021702120398906,5
220,-1,-11.024551295120597,0.0,1
220,0,-11.54863616004568,0.013712875172442887,6
221,-1,-11.024551295120597,0.0,1
221,0,-11.547836408924752,0.012695655460319687,7
222,-1,-11.024551295120597,0.0,2
222,0,-11.547236595584057,0.01187569825826058,8
223,-1,-11.024551295120597,0.0,2
223,0,-11.547236595584057,0.01187569825826058,8
224,-1,-11.024551295120597,0.0,2
224,0,-11.546770074096848,0.011196515692988478,9
225,-2,-10.993336694904968,0.0,1
225,-1,-11.024551295120597,0.0,2
225,0,-11.536101821916473,0.020808240848138565,9
226,-2,-10.993336694904968,0.0,1
226,-1,-11.024551295120597,0.0,2
226,0,-11.536101821916473,0.020808240848138565,9
227,-2,-10.993336694904968,0.0,1
227,-1,-11.024551295120597,0.0,2
227,0,-11.487074163139196,0.009137210469945126,2
228,-2,-10.993336694904968,0.0,1
228,-1,-11.024551295120597,0.0,2
228,0,-11.482884688989547,0.0032123993083011384,2
229,-2,-10.993336694904968,0.0,1
229,-1,-11.024551295120597,0.0,2
229,0,-11.482884688989547,0.0032123993083011384,2
230,-2,-10.993336694904968,0.0,1
230,-1,-11.024551295120597,0.0,2
230,0,-11.482884688989547,0.0032123993083011384,2
231,-2,-10.993336694904968,0.0,1
231,-1,-11.024551295120597,0.0,2
231,0,-11.482884688989547,0.0032123993083011384,2
232,-2,-10.993336694904968,0.0,1
232,-1,-11.024551295120597,0.0,2
232,0,-11.482884688989547,0.0032123993083011384,2
233,-2,-10.993336694904968,0.0,1
233,-1,-11.024551295120597,0.0,2
233,0,-11.482884688989547,0.0032123993083011384,2
234,-1,-10.964147993658509,0.0,1
234,0,-11.482884688989547,0.0032123993083011384,2
235,-1,-10.964147993658509,0.0,1
235,0,-11.436162796590061,0.06286233458278978,2
236,-1,-10.964147993658509,0.0,1
236,0,-11.436162796590061,0.06286233458278978,2
237,-1,-10.964147993658509,0.0,1
237,0,-11.436162796590061,0.06286233458278978,2
238,-1,-10.964147993658509,0.0,1
238,0,-11.436162796590061,0.06286233458278978,2
239,-1,-10.964147993658509,0.0,1
239,0,-11.436162796590061,0.06286233458278978,2
240,-1,-10.964147993658509,0.0,1
240,0,-11.399738997565407,0.011351304008972687,2
241,-1,-10.964147993658509,0.0,1
241,0,-11.399738997565407,0.011351304008972687,2
242,-1,-10.964147993658509,0.0,1
242,0,-11.399738997565407,0.011351304008972687,2
243,-1,-10.964147993658509,0.0,1
243,0,-11.399738997565407,0.011351304008972687,2
244,-1,-10.964147993658509,0.0,1
244,0,-11.399738997565407,0.011351304008972687,2
245,-2,-10.935844621542481,0.0,1
245,-1,-10.964147993658509,0.0,1
245,0,-11.399738997565407,0.011351304008972687,2
246,-2,-10.935844621542481,0.0,1
246,-1,-10.964147993658509,0.0,1
246,0,-11.399738997565407,0.011351304008972687,2
247,-2,-10.935844621542481,0.0,1
247,-1,-10.964147993658509,0.0,1
247,0,-11.384386280242499,0.010360717048365097,2
248,-2,-10.935844621542481,0.0,1
248,-1,-10.964147993658509,0.0,1
248,0,-11.386828324670118,0.00845949004594983,3
249,-2,-10.935844621542481,0.0,1
249,-1,-10.964147993658509,0.0,1
249,0,-11.386828324670118,0.00845949004594983,3
250,-2,-10.935844621542481,0.0,1
250,-1,-10.964147993658509,0.0,1
250,0,-11.386828324670118,0.00845949004594983,3
251,-2,-10.935844621542481,0.0,1
251,-1,-10.964147993658509,0.0,1
251,0,-11.386828324670118,0.00845949004594983,3
252,-2,-10.935844621542481,0.0,1
252,-1,-10.964147993658509,0.0,1
252,0,-11.384386280242499,0.008459490045949446,4
253,-2,-10.935844621542481,0.0,1
253,-1,-10.964147993658509,0.0,1
253,0,-11.384386280242499,0.008459490045949446,4
254,-2,-10.935844621542481,0.0,1
254,-1,-10.964147993658509,0.0,1
254,0,-11.385851506899069,0.008025376916616894,5
255,-2,-10.935844621542481,0.0,1
255,-1,-10.964147993658509,0.0,1
255,0,-11.385851506899069,0.008025376916616894,5
256,-2,-10.935844621542481,0.0,1
256,-1,-10.964147993658509,0.0,1
256,0,-11.385851506899069,0.008025376916616894,5
257,-2,-10.935844621542481,0.0,1
257,-1,-10.964147993658509,0.0,1
257,0,-11.386828324670118,0.007566397919090474,6
258,-2,-10.935844621542481,0.0,1
258,-1,-10.964147993658509,0.0,1
258,0,-11.386828324670118,0.007566397919090474,6
259,-2,-10.904842589265062,0.0,1
259,-1,-10.964147993658509,0.0,1
259,0,-11.386828324670118,0.007566397919090474,6
260,-2,-10.904842589265062,0.0,1
260,-1,-10.964147993658509,0.0,1
260,0,-11.386828324670118,0.007566397919090474,6
261,-2,-10.904842589265062,0.0,1
261,-1,-10.964147993658509,0.0,1
261,0,-11.386828324670118,0.007566397919090474,6
262,-2,-10.904842589265062,0.0,1
262,-1,-10.964147993658509,0.0,1
262,0,-11.386828324670118,0.007566397919090474,6
263,-2,-10.904842589265062,0.0,1
263,-1,-10.964147993658509,0.0,1
263,0,-11.386828324670118,0.007566397919090474,6
264,-2,-10.904842589265062,0.0,1
264,-1,-10.964147993658509,0.0,1
264,0,-11.387526051649436,0.007149574005167894,7
265,-2,-10.904842589265062,0.0,1
265,-1,-10.964147993658509,0.0,1
265,0,-11.387526051649436,0.007149574005167894,7
266,-2,-10.904842589265062,0.0,1
266,-1,-10.964147993658509,0.0,1
266,0,-11.387526051649436,0.007149574005167894,7
267,-2,-10.904842589265062,0.0,1
267,-1,-10.964147993658509,0.0,1
267,0,-11.387526051649436,0.007149574005167894,7
268,-2,-10.904842589265062,0.0,1
268,-1,-10.964147993658509,0.0,1
268,0,-11.388049346883925,0.00678268144687894,8
269,-2,-10.904842589265062,0.0,1
269,-1,-10.964147993658509,0.0,1
269,0,-11.386828324670116,0.007326133282853867,9
270,-2,-10.904842589265062,0.0,1
270,-1,-10.964147993658509,0.0,1
270,0,-11.385851506899069,0.007566397919091412,10
271,-2,-10.904842589265062,0.0,1
271,-1,-10.964147993658509,0.0,1
271,0,-11.385851506899069,0.007566397919091412,10
272,-2,-10.904842589265062,0.0,1
272,-1,-10.964147993658509,0.0,1
