generation median_fitness fitness_25perc fitness_75perc
122 -94.72479191281697 -96.15888172502324 -91.79695958169421
123 -94.72479191281697 -96.15888172502324 -91.79695958169421
124 -94.72479191281697 -96.15888172502324 -91.79695958169421
125 -94.72479191281697 -96.15888172502324 -91.79695958169421
126 -94.72479191281697 -96.15888172502324 -91.33712022878854
127 -94.72479191281697 -96.15802253246368 -91.33712022878854
128 -94.72479191281697 -96.15802253246368 -91.33712022878854
129 -94.72479191281697 -96.15802253246368 -91.33712022878854
130 -94.72479191281697 -96.15802253246368 -91.33712022878854
131 -93.68640686698608 -95.67400532741823 -90.68166943260522
132 -93.68640686698608 -95.63841759739488 -90.38677794181822
133 -93.68640686698608 -95.63841759739488 -90.00200444155098
134 -93.52455821484283 -95.55749327132325 -90.00200444155098
135 -93.52455821484283 -95.55749327132325 -90.00200444155098
136 -93.52455821484283 -95.55749327132325 -90.00200444155098
137 -92.8462816996147 -95.55749327132325 -89.18801820118966
138 -92.8462816996147 -95.55749327132325 -89.18801820118966
139 -92.8462816996147 -95.55749327132325 -89.18801820118966
140 -92.8462816996147 -95.55749327132325 -89.13665389577343
141 -92.8462816996147 -95.55749327132325 -89.13665389577343
142 -92.76035695056319 -95.55749327132325 -89.09369152124768
143 -92.76035695056319 -95.55749327132325 -89.03318504508741
144 -92.76035695056319 -95.55749327132325 -88.26057501546507
145 -92.57298164117799 -95.37291125248804 -88.13969580919174
146 -89.13300363699312 -94.646230078197 -86.87523744437667
147 -89.13300363699312 -94.646230078197 -86.87523744437667
148 -89.12623917672593 -94.646230078197 -86.87185521424307
149 -89.10566377900582 -94.646230078197 -86.86156751538302
150 -89.10566377900582 -94.646230078197 -86.86156751538302
151 -89.0203297278654 -91.36081570787485 -86.81890048981279
152 -91.28041690278187 -92.96543777664986 -86.88699360536086
153 -91.44121451296783 -93.20069679312903 -86.92104016313488
154 -91.44121451296783 -93.20069679312903 -86.92104016313488
155 -91.44121451296783 -93.20069679312903 -86.92104016313488
156 -91.44121451296783 -92.3419823009533 -86.92104016313488
157 -91.44121451296783 -92.3419823009533 -86.91574437222226
158 -91.44121451296783 -92.3419823009533 -86.07513203354955
159 -91.44121451296783 -92.3419823009533 -86.07513203354955
160 -89.17847944259505 -93.2005244800145 -85.74126111630883
161 -89.17847944259505 -93.2005244800145 -85.7323906142571
162 -89.17847944259505 -93.2005244800145 -85.7323906142571
163 -89.17847944259505 -93.2005244800145 -85.73141484462711
164 -89.17847944259505 -93.2005244800145 -85.46941989139052
165 -89.17847944259505 -93.2005244800145 -85.46941989139052
166 -89.15942633192572 -93.2005244800145 -84.51456906793348
167 -88.4720565663275 -93.2005244800145 -84.51456906793348
168 -85.14653444294584 -91.66640645996421 -84.26559611194443
169 -85.14653444294584 -91.66640645996421 -84.26559611194443
170 -85.00398538388356 -91.66640645996421 -84.26559611194443
171 -85.00398538388356 -91.66640645996421 -84.26559611194443
172 -84.48357558763738 -86.98747759300733 -83.72729825087403
173 -84.1032137864812 -86.23910773930193 -83.67869844759007
174 -84.1032137864812 -86.23910773930193 -83.67869844759007
175 -84.1032137864812 -86.23910773930193 -83.67869844759007
176 -84.1032137864812 -86.23910773930193 -83.67869844759007
177 -83.94245640844395 -86.20686289863806 -83.67869844759007
178 -83.93913607362447 -86.09257705509302 -83.67869844759007
179 -83.6896002005868 -86.09257705509302 -83.62726910854113
180 -83.6587124240475 -86.09257705509302 -83.4249549518718
181 -83.65206235491507 -86.09257705509302 -83.4249549518718
182 -83.65206235491507 -86.01498822431122 -83.22117371334804
183 -83.65206235491507 -86.01498822431122 -83.22117371334804
184 -83.59270493371373 -86.01498822431122 -82.94171761564158
185 -83.59270493371373 -86.01498822431122 -82.94171761564158
186 -83.59270493371373 -86.01498822431122 -82.94171761564158
187 -83.45745855778875 -86.01498822431122 -82.93536276349185
188 -83.45745855778875 -86.01498822431122 -82.93536276349185
189 -83.45745855778875 -86.01498822431122 -82.93536276349185
190 -83.6662486697908 -90.67371581566051 -83.10247131499173
191 -83.6662486697908 -90.67371581566051 -83.0481258642796
192 -83.6662486697908 -90.67371581566051 -83.0481258642796
193 -83.6662486697908 -90.67371581566051 -82.43403710899223
194 -83.6662486697908 -90.67371581566051 -82.43403710899223
195 -83.0481258642796 -90.67371581566051 -82.40506270708951
196 -83.0481258642796 -90.67371581566051 -82.40506270708951
197 -83.0481258642796 -90.67371581566051 -82.39293511504431
198 -83.0481258642796 -90.67371581566051 -82.39293511504431
199 -83.0481258642796 -90.67371581566051 -82.39293511504431
200 -82.80451808250908 -85.41216396950884 -82.35185999751273
201 -82.80451808250908 -85.41216396950884 -82.35185999751273
202 -82.80451808250908 -85.39618395666398 -82.05697412509898
203 -82.80451808250908 -85.3559664526573 -82.05697412509898
204 -82.80451808250908 -85.3559664526573 -82.05697412509898
205 -82.80451808250908 -85.3559664526573 -82.04672746677755
206 -82.80451808250908 -85.30022394333656 -82.04672746677755
207 -82.80451808250908 -85.30022394333656 -82.04672746677755
208 -82.80451808250908 -85.30022394333656 -81.99442055318852
209 -82.80451808250908 -85.27067585457752 -81.99442055318852
210 -83.0481258642796 -90.10991966870353 -82.22863464491799
211 -83.0481258642796 -90.10991966870353 -82.22863464491799
212 -83.0481258642796 -90.10991966870353 -82.22863464491799
213 -83.0481258642796 -90.10991966870353 -82.22863464491799
214 -82.56091030073856 -85.86866615608696 -82.0766407183404
215 -82.56091030073856 -85.86866615608696 -82.0766407183404
216 -82.56091030073856 -85.86866615608696 -82.0766407183404
217 -82.56091030073856 -85.86866615608696 -82.0766407183404
218 -82.56091030073856 -85.86866615608696 -82.05259406208467
219 -82.56091030073856 -85.86866615608696 -82.05259406208467
220 -82.56091030073856 -85.86866615608696 -82.05259406208467
221 -82.56091030073856 -85.86866615608696 -82.05259406208467
222 -82.51090127571663 -85.86866615608696 -82.05259406208467
223 -82.34472248403407 -85.86866615608696 -82.05259406208467
224 -82.34472248403407 -85.86866615608696 -82.05259406208467
225 -82.34472248403407 -85.86866615608696 -82.05259406208467
226 -82.22863464491799 -85.86866615608696 -82.05259406208467
227 -82.22863464491799 -85.86866615608696 -82.05259406208467
228 -82.13550941291145 -85.86866615608696 -81.1490337555717
229 -82.13550941291145 -85.86866615608696 -81.1490337555717
230 -82.13550941291145 -85.86866615608696 -81.1490337555717
231 -82.13550941291145 -85.86866615608696 -81.1490337555717
232 -82.13550941291145 -85.86866615608696 -81.1490337555717
233 -82.13550941291145 -85.86866615608696 -81.1490337555717
234 -82.13550941291145 -85.86866615608696 -81.1490337555717
235 -82.13550941291145 -85.86866615608696 -81.1490337555717
236 -82.13550941291145 -85.86866615608696 -81.1490337555717
237 -82.13550941291145 -85.86866615608696 -81.1490337555717
238 -82.13550941291145 -85.86866615608696 -81.1490337555717
